Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:27:01,05-03-2024 12:27:01,0.540s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:01,05-03-2024 12:27:02,0.291s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: Johnjohnjohnjo"")",Chrome 122.0.0.0,,,05-03-2024 12:27:02,05-03-2024 12:27:02,0.277s,PASSED
"takeFullPageScreenshot(""IMG/Screen4.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:02,05-03-2024 12:27:02,0.265s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:02,05-03-2024 12:27:02,0.107s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google5,Chrome 122.0.0.0,,,05-03-2024 12:27:02,05-03-2024 12:27:06,3.280s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:27:02,05-03-2024 12:27:03,0.554s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:27:03,05-03-2024 12:27:03,0.059s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohnjohnjoh"")",Chrome 122.0.0.0,,,05-03-2024 12:27:03,05-03-2024 12:27:04,0.584s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:27:04,05-03-2024 12:27:04,0.543s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:27:04,05-03-2024 12:27:05,0.553s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:05,05-03-2024 12:27:05,0.289s,PASSED
