Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-Web,Chrome 122.0.0.0,,,05-03-2024 12:28:23,05-03-2024 12:28:55,31.709s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google,Chrome 122.0.0.0,,,05-03-2024 12:28:23,05-03-2024 12:28:28,4.589s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:28:24,05-03-2024 12:28:25,1.212s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:28:25,05-03-2024 12:28:25,0.090s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:28:25,05-03-2024 12:28:26,0.654s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 12:28:26,05-03-2024 12:28:26,0.569s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 12:28:26,05-03-2024 12:28:27,0.553s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:28:27,05-03-2024 12:28:27,0.347s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:28:27,05-03-2024 12:28:27,0.307s,PASSED
"takeFullPageScreenshot(""IMG/Screen1.png"")",Chrome 122.0.0.0,,,05-03-2024 12:28:27,05-03-2024 12:28:28,0.342s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:28:28,05-03-2024 12:28:28,0.321s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google2,Chrome 122.0.0.0,,,05-03-2024 12:28:28,05-03-2024 12:28:31,3.390s,PASSED
